# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 15:22:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v1.json
# init = .//input/init.json
# random
#   seed = 4021865561 (Default)
# output
#   file = .//output/output_trivial_v1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
-533.199,0.937336,0.0550638,5,63,0,543.523,1.50058,0.772563,1.2831,1.24212,0.724621,1.02516,0.82436,1.0771,1.21802,0.759344,1.0849,1.10674,0.703328,1.79755,0.417221
-531.92,0.962455,0.0550638,5,63,0,537.571,1.34735,0.612751,0.772245,1.66872,0.875062,1.11382,0.837876,0.948717,1.60067,0.830482,0.916684,1.13036,0.487182,1.78207,0.732747
-532.478,0.991814,0.0550638,5,63,0,537.444,1.66062,0.732785,0.659945,2.05397,0.63888,0.929921,1.25822,0.789746,0.960806,1.07507,0.873825,1.76115,0.365522,1.11931,1.34395
-538.003,0.774509,0.0550638,5,47,0,545.4,1.18907,1.31777,1.12754,1.1215,0.735226,0.764683,0.927673,1.7288,1.06677,0.603057,1.72797,0.715596,0.927966,1.22792,0.218451
-535.748,0.998021,0.0550638,6,63,0,541.04,1.27314,0.637268,1.47179,1.08752,0.527448,1.41035,0.924914,1.47727,0.761856,0.590435,1.5089,0.969571,1.29303,1.27958,0.300536
-538.046,0.962827,0.0550638,5,31,0,546.033,2.20129,0.429051,1.19659,2.46991,0.340113,1.87595,0.626484,1.45382,1.57213,0.273245,1.59669,1.26569,0.824686,2.52749,0.128307
-541.28,0.877066,0.0550638,6,63,0,550.29,5.13305,0.80109,1.05276,0.321003,0.730701,2.99894,2.14897,0.695401,0.282907,0.969862,2.01438,2.8867,0.357651,0.561638,6.59256
-537.006,0.724978,0.0550638,6,63,0,547.624,1.52665,1.05241,0.44663,2.55008,0.407491,2.5778,0.668129,0.76274,1.33191,0.439878,2.95463,0.744953,0.746647,0.939281,3.73233
-533.188,0.963924,0.0550638,6,63,0,542.639,0.528878,1.77591,0.76283,1.16714,1.01988,0.561638,2.45992,0.753036,0.697601,1.13082,0.696216,2.89494,0.424603,1.16574,3.11984
-532.922,0.883784,0.0550638,5,31,0,539.105,1.05588,2.30562,0.530221,1.60164,0.478303,1.06107,2.07588,0.819678,0.725474,0.606093,1.77487,1.68504,0.6195,0.688566,2.18996
-530.88,0.939276,0.0550638,6,63,0,535.98,0.782826,0.761265,1.95393,2.00115,0.495722,0.557141,1.10382,2.12516,1.01962,0.703544,0.538454,1.40498,1.1425,1.11465,0.768386
-533.239,0.74998,0.0550638,6,63,0,537.977,0.534423,1.05875,1.32766,1.33786,1.37744,0.384179,0.849861,1.9297,0.771411,1.59909,0.55609,0.78241,1.12247,0.744007,0.668178
-535.273,0.89276,0.0550638,6,63,0,539.791,1.93978,1.33879,0.650689,2.01866,0.37577,1.94672,0.8834,0.85938,1.08485,0.822122,1.67215,1.03168,0.539422,0.783608,1.12652
-533.977,0.944192,0.0550638,6,63,0,541.241,0.799767,0.307226,0.957396,2.55784,1.84871,0.579642,0.491865,1.30262,1.2667,1.66003,0.559386,0.627825,1.05895,1.5411,1.11861
-533.805,0.993669,0.0550638,6,63,0,540.472,1.50351,0.275306,1.24841,1.55708,0.971579,1.69455,0.409231,1.27518,0.71185,1.31331,1.89264,0.467064,0.928351,1.02739,0.92861
-535.616,0.862361,0.0550638,6,63,0,541.061,3.81062,0.577048,1.62205,0.552267,0.688459,2.29892,0.629477,1.80331,0.464451,0.808104,2.87817,0.642016,1.16364,0.464397,6.52506
-536.627,0.978201,0.0550638,6,63,0,544.632,0.830913,0.541154,0.599094,1.76321,2.94861,0.659625,0.342441,1.25635,1.30205,1.79503,0.963816,0.399841,0.841949,1.04431,0.358236
-538.563,0.973576,0.0550638,6,63,0,544.673,1.07357,2.01294,2.85256,0.33128,0.648432,0.865192,1.69236,3.09805,0.36578,0.5419,1.37126,0.995008,1.70411,0.487596,0.966229
-542.046,0.881215,0.0550638,5,31,0,549.952,2.22188,0.366075,3.58356,0.459294,0.648557,1.51483,1.07196,3.03816,0.194462,1.27785,1.04209,1.09095,2.64628,0.160083,1.56247
-539.653,0.912023,0.0550638,5,31,0,546.623,1.05938,0.918664,2.61179,0.246661,1.18148,1.09889,1.08979,3.72225,0.266919,0.757558,1.62131,0.741291,2.23576,0.558466,1.3475
-539.908,0.840352,0.0550638,6,63,0,548.355,0.44795,0.775634,0.362719,3.40543,1.55789,0.525964,1.20918,0.350506,1.87286,1.85056,0.937634,1.07483,0.182322,3.55377,0.327801
-539.022,0.896309,0.0550638,6,63,0,546.795,1.19993,1.4297,1.10975,1.54967,0.396283,0.830733,2.60694,1.17704,0.409688,0.875046,0.65308,3.17029,0.981425,0.326926,2.12535
-536.568,0.999928,0.0550638,6,63,0,545.011,0.929324,0.266229,1.38579,1.70604,1.45583,0.864241,0.523043,0.8559,1.49702,1.54896,1.49306,0.472068,0.509474,1.45747,0.470472
-534.735,0.999084,0.0550638,6,63,0,545.363,1.52057,1.34408,1.13834,0.381663,1.31482,1.18149,1.43306,1.65706,0.264971,1.15769,1.1235,1.79121,0.631814,0.736625,1.76664
-534.619,0.997482,0.0550638,6,127,0,539.241,0.813082,0.641047,1.0548,1.12622,1.40196,0.756124,0.897568,0.967484,1.23623,0.803073,1.20586,1.5014,0.417639,1.14207,0.373531
-534.769,0.910731,0.0550638,5,63,0,542.179,1.27588,0.617191,1.26798,1.49287,0.766341,0.788151,0.629431,2.75251,0.617542,1.11669,0.977329,0.843753,1.5822,0.489661,3.34231
-531.947,0.947906,0.0550638,6,63,0,540.571,1.34466,1.67369,0.582575,1.6959,0.437551,1.1862,1.6377,1.00184,0.964267,0.491477,0.964604,2.36154,0.776079,0.777896,0.531941
-531.017,0.921773,0.0550638,6,63,0,535.925,1.09412,0.666636,1.76273,0.979788,0.801289,0.881712,0.817676,2.84287,0.576936,0.769934,1.16207,0.846232,1.47401,0.769275,1.11732
-533.517,0.904604,0.0550638,6,63,0,537.513,1.72348,0.919552,1.43031,0.98866,0.508155,1.59193,1.06969,1.47775,0.530036,1.02329,1.14957,1.64754,0.84739,0.383285,1.01288
-533.95,0.932237,0.0550638,6,63,0,541.592,1.13314,0.383109,1.11927,3.06288,0.932701,0.513543,0.569046,1.73503,2.0458,0.911276,0.44273,0.741226,1.4516,1.54174,1.17107
-535.797,0.809646,0.0550638,6,63,0,540.684,1.18983,0.878484,1.50359,0.745588,1.0515,1.05014,1.02903,1.7187,0.230492,2.60086,0.773873,1.34756,1.13549,0.266485,2.14783
-535.019,0.986509,0.0550638,5,31,0,539.646,1.30084,0.726681,1.3844,0.301068,3.14926,0.884806,1.01097,1.63555,0.238456,2.29444,0.858361,1.39663,1.01233,0.243109,2.2276
-535.438,0.700921,0.0550638,6,63,0,546.468,0.911515,1.56963,0.794106,2.49835,0.262946,0.962032,1.79679,1.14019,1.06446,0.532171,1.13715,1.91467,0.556266,1.29736,0.297682
-531.269,0.994179,0.0550638,6,63,0,540.324,1.56781,0.570377,0.448245,1.34927,1.88841,1.27058,0.745845,0.596606,0.832993,1.62141,1.49087,0.967888,0.316985,1.00706,0.589458
-538.174,0.933794,0.0550638,6,63,0,542.457,1.19927,0.218405,0.723853,6.56077,0.987887,0.98798,0.194548,1.26782,3.10601,1.0917,1.27239,0.275668,0.535916,4.07914,0.318939
-534.243,0.881175,0.0550638,6,63,0,543.449,1.07259,0.426981,0.853253,2.87971,0.799618,0.91312,0.458894,1.63353,1.05858,1.17392,0.808778,0.785454,1.00969,1.37577,3.42635
-535.372,0.888746,0.0550638,4,15,0,540.59,1.53922,0.427699,0.77456,2.87831,0.836373,0.886298,0.519255,1.79543,1.31092,0.96276,0.725632,0.652341,1.01918,1.21336,3.3957
-533.344,0.998852,0.0550638,6,63,0,539.237,0.58554,1.3773,0.757923,1.41641,1.32787,0.427537,1.47429,0.952814,1.41292,0.731099,0.715022,1.91576,0.497004,1.91195,0.660535
-538.653,0.791217,0.0550638,5,63,0,545.564,0.700349,0.828261,2.4562,1.36607,0.609562,0.638988,0.670741,2.73402,0.629643,1.48161,0.511732,1.07335,1.55271,0.381447,4.87668
-537.231,0.653813,0.0550638,6,63,0,547.4,2.95169,0.752833,1.29724,1.36757,0.325066,2.18292,0.862119,1.19068,0.556444,0.67707,2.14743,1.10811,0.599129,0.66246,0.297822
-534.134,0.943502,0.0550638,4,15,0,540.706,2.92846,0.683594,1.20035,1.40709,0.353134,2.48961,0.809286,1.21499,0.587991,0.708986,2.10307,1.24786,0.721429,0.663609,0.302828
-536.177,0.940426,0.0550638,6,63,0,541.717,1.76441,0.496011,0.843883,0.962779,1.63711,1.62955,0.54723,0.683864,0.62441,1.8848,2.64403,0.604502,0.235822,1.42634,1.19477
-533.095,0.998993,0.0550638,6,63,0,539.595,0.619184,1.65566,2.01857,1.08999,0.590507,0.39879,1.75138,2.48847,0.796405,0.569269,0.571842,1.72179,1.31553,1.49186,0.599364
-535.231,0.76248,0.0550638,6,63,0,540.607,0.960136,1.05202,0.648036,1.29263,1.02591,1.29091,0.719044,1.12244,0.79876,1.95884,0.913238,0.735346,0.513273,1.22171,2.74079
-541.583,0.758124,0.0550638,6,63,0,551.294,1.2893,1.00612,0.930663,0.410714,2.96088,0.411693,1.64985,1.43438,0.362917,2.14796,0.530085,1.73333,0.659096,0.400361,0.1803
-536.506,0.985141,0.0550638,6,63,0,546.412,1.64992,1.44406,0.818411,0.842539,0.628393,1.27443,1.93972,1.29937,0.30896,0.652553,1.92328,2.30681,1.02317,0.441605,2.97477
-534.771,0.987372,0.0550638,6,63,0,540.887,0.486943,0.395852,1.31945,3.33791,0.929556,0.542236,0.53597,1.28583,1.71479,1.47831,0.482163,0.596881,1.19511,1.87246,3.09307
-537.526,0.853795,0.0550638,5,31,0,544.285,0.44378,0.43491,0.993813,4.82766,0.852626,0.444716,0.67466,1.14385,2.09972,1.68611,0.47484,0.516642,1.12676,1.27177,3.3435
-539.189,0.693643,0.0550638,6,63,0,550.131,2.6929,3.92079,0.42661,0.511448,0.536387,1.60023,4.9356,0.647592,0.338485,0.642417,1.69923,3.99852,0.771669,0.200819,0.710731
-538.084,0.871566,0.0550638,5,31,0,544.918,1.09915,3.23075,0.750617,0.406842,0.850079,1.27699,3.95549,0.721299,0.326249,0.602501,1.66437,6.07017,0.23502,0.574251,0.754259
-534.935,0.7065,0.0550638,6,63,0,545.339,1.98775,0.879492,0.396173,1.06663,1.32679,1.49931,1.0793,0.691805,0.516597,1.3815,1.841,1.41927,0.601972,0.309651,4.38724
-534.315,0.893655,0.0550638,6,63,0,540.525,1.68933,0.41493,1.47635,1.23683,0.724288,1.41574,0.388583,2.36095,1.02125,0.668334,1.53367,0.597481,0.797922,2.06686,1.84469
-534.275,0.748001,0.0550638,6,63,0,541.079,0.710131,1.6001,0.668627,0.830056,1.18572,0.691546,1.84154,0.952963,0.59098,1.86941,0.451285,2.93777,0.509436,0.591804,0.556376
-534.926,0.976629,0.0550638,6,63,0,541.722,1.64184,0.418871,1.59388,0.832385,1.07734,0.820168,0.762156,2.47026,0.4269,1.91754,0.643412,0.86054,1.55767,0.507863,2.87061
-533.509,0.873364,0.0550638,6,63,0,541.419,2.20323,0.552645,0.621043,2.46612,0.47044,1.88009,0.84065,0.625754,1.58223,0.536463,1.50763,1.67186,0.389415,1.40507,1.11875
-535.311,0.850849,0.0550638,6,63,0,543.515,0.715995,0.841444,1.62722,0.801154,1.12314,0.681738,1.13528,2.11362,0.52237,1.84037,0.302015,1.65571,1.43165,0.751559,1.24803
-534.365,0.752315,0.0550638,6,63,0,543.468,0.754466,1.132,2.34905,0.9019,0.865772,0.488919,1.07109,3.52686,0.547119,0.937948,0.438641,2.0313,1.37309,0.770623,2.12789
-537.918,0.716921,0.0550638,6,63,0,544.239,2.52667,0.458866,0.51965,1.40908,1.15239,2.04487,0.947624,0.664085,0.709576,0.937918,1.79823,1.29289,0.337669,0.995648,0.441638
-538.246,0.97838,0.0550638,6,63,0,545.284,0.466829,1.36186,0.919029,0.752804,2.44257,0.384906,1.50034,0.719255,0.802373,2.69514,0.437135,2.09373,0.495604,1.10277,3.50975
-534.177,0.981547,0.0550638,5,63,0,545.709,1.2811,1.2577,1.50187,1.04949,0.549423,0.80325,1.88675,1.35442,0.526827,0.843681,0.81491,1.46374,1.05132,0.672396,1.09233
-532.78,0.924705,0.0550638,4,31,0,540.17,0.877227,0.977414,0.931834,1.35554,0.937332,0.710127,1.07861,1.91398,0.837824,0.81211,0.567124,1.86328,0.954363,0.882399,1.2014
-536.851,0.876708,0.0550638,5,47,0,542.515,1.75888,0.731714,0.919602,0.77768,1.11905,1.35252,1.36459,0.547892,0.420137,2.14471,1.37943,1.20362,0.497968,0.609195,0.71959
-545.045,0.828498,0.0550638,5,63,0,549.734,1.70775,1.633,0.708367,1.78954,0.305495,1.0702,2.84459,0.509065,1.62436,0.279252,2.14667,1.38278,0.375587,1.36912,0.135125
-541.609,0.971781,0.0550638,6,63,0,555.847,1.43049,0.42496,1.11513,0.738234,1.4224,1.35615,0.368163,2.07856,0.548042,1.0172,1.92038,0.596944,1.64652,0.278602,0.46102
-537.001,0.9035,0.0550638,6,63,0,549.453,1.30735,0.500968,1.48449,0.849946,1.5509,0.994407,0.664776,1.26825,0.657147,1.76766,1.1072,0.409929,0.703628,1.49723,0.534322
-537.071,0.685674,0.0550638,5,63,0,555.738,0.791144,0.983395,1.71331,1.08277,1.02024,0.610796,0.875519,2.08487,0.714518,1.31632,0.417081,2.72308,0.705148,0.764101,0.789049
-540.942,0.96687,0.0550638,5,47,0,545.845,1.86412,1.34998,0.555751,1.15743,1.02654,1.09064,0.84364,1.00594,0.789027,0.599351,2.68305,0.908178,0.950757,0.606681,1.54854
-535.937,0.99847,0.0550638,4,31,0,546.608,3.33183,0.567645,0.491755,1.4523,0.681641,4.08582,0.573975,0.497322,0.80531,1.47828,3.24296,0.585099,0.294511,0.96469,1.86161
-533.488,0.840269,0.0550638,6,63,0,543.381,1.07353,0.565131,2.43631,1.50982,0.504969,0.85999,0.725563,2.13437,0.990487,0.898474,0.67425,0.752988,1.68907,0.995809,6.41378
-536.918,0.718345,0.0550638,6,63,0,541.171,1.90574,0.459243,1.49943,1.93066,0.382707,1.11355,0.678766,3.08973,0.828891,0.599267,0.715286,1.378,1.45862,0.894022,5.46323
-538.7,0.756893,0.0550638,5,31,0,548.892,1.45459,0.880242,0.668884,0.860568,1.50871,1.95016,0.527458,0.882695,0.500213,1.28345,3.62153,0.523607,0.382781,1.22748,2.6674
-537.859,0.660042,0.0550638,5,63,0,547.951,0.58873,0.780843,2.23162,1.7359,0.680524,0.401918,1.13257,3.77682,0.669495,1.29154,0.242648,1.7266,1.34082,1.04722,1.44725
-536.691,0.950091,0.0550638,6,63,0,544.491,0.432366,0.612993,2.66196,0.619306,2.67698,0.383074,0.777647,2.49442,0.661606,1.56872,0.559248,0.939729,1.68364,0.732797,2.67075
-536.309,0.849599,0.0550638,6,63,0,542.768,2.05452,1.20175,0.547199,2.0304,0.423089,2.38169,0.798251,0.784669,1.5469,0.505884,2.07821,1.24412,0.253635,2.10569,1.09105
-534.259,0.805484,0.0550638,6,63,0,544.015,0.719524,1.06084,1.19137,2.0797,0.552565,0.735924,0.591818,2.27654,1.18934,0.802197,1.02722,0.567361,1.19487,1.33405,0.996061
-543.182,0.516108,0.0550638,5,63,0,551.883,2.41211,0.157306,1.78494,1.64804,1.16121,0.621908,0.49883,1.35099,1.31289,2.23926,0.562098,0.530333,0.800692,1.15285,0.770034
-539.047,0.978435,0.0550638,5,31,0,548.216,0.89427,0.302648,0.754064,1.5945,1.91609,1.30943,0.233802,1.63327,1.11056,2.15522,1.0021,0.424094,0.634914,1.06432,0.685822
-535.534,0.98579,0.0550638,6,63,0,546.289,1.15871,2.14766,0.860865,0.865468,0.582318,0.991827,2.21232,1.20694,0.516542,0.527041,0.733407,5.64738,0.643463,0.516407,1.20043
-535.478,0.979211,0.0550638,6,63,0,544.329,1.18426,0.226004,1.16048,3.1287,1.03785,0.875028,0.283784,1.80562,2.30848,0.783674,0.710016,0.605394,1.04128,1.85501,0.750409
-536.45,0.896712,0.0550638,6,63,0,542.193,1.1991,1.5988,1.02107,0.418898,1.7577,0.791941,2.4023,0.744142,0.325662,2.07006,1.02713,1.49399,0.612272,0.427232,3.36047
-537.592,0.979297,0.0550638,6,63,0,541.748,0.570439,0.868429,1.95087,2.53519,0.379761,0.720561,0.819006,2.54288,1.40099,0.268335,0.818583,1.85781,0.93466,1.75825,0.818834
-534.374,0.961125,0.0550638,5,47,0,544.455,1.57646,1.2424,0.581495,0.808659,1.05538,1.34305,0.844009,1.36978,0.452709,1.28822,1.01588,1.52144,0.873125,0.55041,0.730966
-535.937,0.687943,0.0550638,6,63,0,543.155,1.24244,0.867727,1.26114,1.27403,0.58869,0.76119,1.37762,1.3395,0.75129,0.961917,0.755321,0.897756,1.06897,1.14951,0.184206
-535.447,0.923064,0.0550638,4,15,0,541.303,1.2038,0.917904,1.31084,1.35465,0.584316,0.804305,1.30091,1.33228,0.752469,0.902378,0.769599,0.943458,0.999338,1.07324,0.184344
-533.217,0.787181,0.0550638,6,63,0,540.395,1.0127,0.576016,0.892106,2.34272,0.82905,0.810807,0.710651,1.60877,1.15896,0.643898,0.919921,1.0806,0.780577,1.23086,2.66612
-533.161,0.976639,0.0550638,4,31,0,538.404,0.787984,0.659042,0.938465,1.50839,1.05601,0.84192,0.8273,0.989635,1.55705,0.782967,1.23189,0.943729,0.5894,1.40771,3.4566
-535.669,0.898112,0.0550638,4,31,0,541.861,1.20497,0.391038,0.964714,1.8839,1.5328,0.851471,0.585963,0.928459,1.59557,1.60733,0.750842,0.594858,0.538388,1.78234,8.61596
-537.08,0.898358,0.0550638,6,63,0,545.56,1.56801,0.357652,0.772243,2.86433,0.881924,1.16642,0.488916,1.41184,1.25223,0.917873,1.19407,0.764588,0.880529,0.692078,6.22029
-534.416,1,0.0550638,6,63,0,542.361,0.924965,1.71837,0.523627,0.70019,1.49136,0.963709,1.81362,0.6646,0.448435,1.48633,1.67788,1.50315,0.489244,0.291367,0.427192
-534.174,0.566919,0.0550638,6,63,0,541.651,1.32593,0.918579,1.9601,0.797985,0.544623,1.326,1.294,1.88476,0.356488,0.962441,0.965774,2.37013,0.716919,0.615433,0.574258
-533.293,0.999195,0.0550638,6,63,0,537.982,0.354697,1.91822,1.06855,0.943603,1.25291,0.437092,1.55398,1.37857,0.628235,1.23284,0.770008,1.34171,0.795773,0.617478,0.628057
-535.602,0.757818,0.0550638,4,15,0,540.175,0.317123,2.69938,0.816956,0.847658,1.4857,0.554643,1.61148,1.01992,0.644603,1.34947,0.754403,1.42602,0.98811,0.486378,0.647166
-534.647,0.99978,0.0550638,5,63,0,542.453,3.79499,0.50098,0.929585,0.776427,0.813839,2.33038,0.901869,0.688188,0.802545,1.03736,1.47084,1.61271,0.353529,0.871301,2.47455
-541.187,0.690526,0.0550638,5,63,0,553.513,0.750761,1.33071,0.258454,1.10645,3.32044,0.620201,0.967519,0.672427,0.668493,4.82556,0.418831,0.774065,0.961662,0.709733,0.909965
-543.056,0.866409,0.0550638,6,95,0,546.95,0.385389,0.330193,1.56699,1.6539,2.87584,0.407796,0.767339,0.89063,1.13374,2.20303,0.440899,1.47,0.268284,1.88129,1.69648
-540.18,0.885967,0.0550638,5,31,0,550.064,0.716767,0.310684,1.32197,1.35071,3.42242,0.399954,0.765097,0.91757,1.16227,2.12493,0.409328,1.34888,0.389848,1.17659,1.31478
-534.135,0.992784,0.0550638,5,31,0,544.276,0.8881,0.954295,0.815691,1.22964,1.00022,0.915649,0.886655,1.39755,0.514446,1.21009,1.34429,1.01583,1.36143,0.320099,0.922439
-539.862,0.858319,0.0550638,5,31,0,546.932,1.47552,0.717876,3.75004,0.286737,0.854022,1.15705,0.969344,3.79853,0.226867,1.30147,0.522693,1.45471,2.21259,0.296112,0.465613
-539.006,0.999405,0.0550638,6,63,0,548.697,1.06074,1.17807,0.238821,3.41689,1.05626,0.851307,0.934588,0.452529,2.49595,0.960475,1.20007,0.743045,0.312625,5.36823,2.20042
-533.128,0.990632,0.0550638,5,47,0,548.199,2.71357,0.506109,0.988755,1.27609,0.672262,1.7561,0.829704,0.998786,0.854901,0.797298,1.13701,1.4672,0.782568,0.881739,3.95191
-534.907,0.915928,0.0550638,5,47,0,540.64,2.87298,0.579838,0.836107,1.0851,0.743551,1.26007,1.27122,1.05781,0.870616,0.471954,1.7476,1.41479,0.737584,0.8355,3.39539
-532.269,0.915901,0.0550638,4,31,0,538.07,1.29998,1.22661,0.947566,1.41634,0.42561,1.4431,1.04277,1.25204,0.706019,0.91231,1.08625,1.29575,0.858765,0.584306,1.74257
-532.531,0.944934,0.0550638,6,63,0,536.392,1.65289,0.675968,2.03433,0.80961,0.489449,1.82958,0.658277,1.87704,0.735532,0.591753,1.48773,1.02586,0.978084,1.06206,0.443396
-533.892,0.96375,0.0550638,4,15,0,536.101,2.54282,0.645619,2.08102,0.757927,0.52426,1.39637,0.848709,2.17737,0.521207,0.60619,1.77889,0.86019,0.945991,1.00841,0.345741
-533.491,0.940461,0.0550638,6,63,0,539.78,1.14961,0.919816,0.809893,1.01164,1.33677,0.855381,1.33256,0.95679,0.691497,1.0609,1.09882,2.24765,0.361624,0.869454,4.28618
-533.466,0.898177,0.0550638,5,63,0,538.525,1.33326,1.07757,0.930382,1.3042,0.712518,1.00436,1.10369,1.34908,0.701153,1.40991,0.914218,0.810688,1.32842,0.630681,0.92461
-533.974,0.972429,0.0550638,5,31,0,537.955,0.910526,0.826506,1.65777,1.75549,0.596849,0.687299,1.03013,1.39658,1.37144,0.955855,0.571226,0.953429,1.23032,1.87291,1.96461
-534.071,0.920815,0.0550638,5,47,0,540.626,0.639132,0.660423,1.70014,2.51727,0.541756,0.690257,0.70019,2.59333,0.960048,0.682386,0.935223,1.01374,1.54483,0.857611,1.19677
-538.242,0.94613,0.0550638,6,63,0,544.564,1.23435,0.506162,0.793218,1.53497,1.1943,1.11224,1.05808,0.631115,1.00778,1.28786,1.32504,0.987325,0.554541,0.554605,0.069272
-535.904,0.994761,0.0550638,4,31,0,543.504,1.45166,1.06176,0.554664,1.667,0.917703,0.900078,1.13694,0.872364,0.785382,1.22814,1.30143,0.929864,0.497042,0.974545,0.0502339
-533.657,0.863724,0.0550638,5,31,0,540.126,2.35305,0.577072,0.701841,1.49114,0.698503,1.84229,0.880962,0.80828,0.665988,1.03263,2.42378,0.920977,0.340542,1.2989,0.287223
-531.722,0.958374,0.0550638,6,63,0,536.732,0.645968,0.797202,2.09681,0.602566,1.65298,0.524153,0.917709,1.87537,0.61701,1.70386,0.46526,1.21,1.20074,0.686469,1.36335
-536.263,0.891532,0.0550638,5,31,0,540.898,0.292851,0.439483,2.15701,1.98419,1.66341,0.327262,0.582281,2.5103,0.74244,3.16134,0.339944,0.5923,1.78023,0.723472,0.973518
-533.827,0.991533,0.0550638,6,63,0,540.416,2.5456,1.58669,0.528443,1.13269,0.395036,2.04628,2.20025,0.548093,0.755739,0.437714,2.30963,1.93275,0.585399,0.690085,0.782812
-537.354,0.958488,0.0550638,6,63,0,544.853,0.268215,0.58859,2.67415,1.4764,1.3102,0.419478,0.591944,2.28773,0.883375,1.88826,0.542309,0.470201,0.999016,1.64002,1.84327
-539.122,0.824512,0.0550638,5,63,0,547.949,0.993942,0.406299,1.14115,3.51897,0.541025,0.618657,0.67866,2.06241,2.06897,0.678852,0.358012,0.973457,2.40074,1.17769,0.488204
-540.642,0.946606,0.0550638,6,63,0,547.181,2.34775,1.12648,2.7839,0.365323,0.609382,1.66041,0.828979,2.9339,0.572628,0.289701,2.45349,1.01762,1.51108,0.736768,0.331862
-537.407,0.964667,0.0550638,6,63,0,547.393,2.21453,0.862732,0.382068,0.684893,1.51507,1.91555,1.38695,0.663741,0.325213,2.12757,1.23773,1.74967,0.670362,0.255341,0.689056
